RSSI,distance
73,1
74,1
75,1
74,1
71,1
74,1
73,1
72,1
77,1
73,1
71,1
75,1
73,1
72,1
74,1
74,1
73,1
72,1
74,1
76,1
73,1
77,1
76,1
72,1
74,1
77,1
73,1
76,1
74,1
81,1.5
78,1.5
79,1.5
84,1.5
82,1.5
83,1.5
79,1.5
76,1.5
80,1.5
87,1.5
81,1.5
83,1.5
85,1.5
84,1.5
87,1.5
81,1.5
80,1.5
76,1.5
81,1.5
88,1.5
79,1.5
79,1.5
82,1.5
90,1.5
86,1.5
90,1.5
92,1.5
87,1.5
84,1.5
79,1.7
78,1.7
78,1.7
79,1.7
74,1.7
79,1.7
75,1.7
75,1.7
73,1.7
80,1.7
81,1.7
79,1.7
76,1.7
79,1.7
80,1.7
76,1.7
80,1.7
77,1.7
75,1.7
76,1.7
84,1.7
81,1.7
75,1.7
77,1.7
80,1.7
80,1.7
83,1.7
85,1.7
82,1.7
93,1.8
87,1.8
104,1.8
81,1.8
86,1.8
86,1.8
88,1.8
84,1.8
90,1.8
98,1.8
87,1.8
95,1.8
92,1.8
89,1.8
98,1.8
80,1.8
96,1.8
92,1.8
98,1.8
91,1.8
87,1.8
90,1.8
87,1.8
110,1.8
84,1.8
109,1.8
102,1.8
92,1.8
95,1.8
89,1.9
93,1.9
98,1.9
95,1.9
98,1.9
88,1.9
86,1.9
89,1.9
96,1.9
80,1.9
89,1.9
88,1.9
92,1.9
97,1.9
97,1.9
85,1.9
88,1.9
87,1.9
96,1.9
88,1.9
91,1.9
99,1.9
96,1.9
86,1.9
86,1.9
94,1.9
85,1.9
87,1.9
93,1.9
93,2
89,2
86,2
90,2
92,2
93,2
92,2
90,2
88,2
96,2
79,2
87,2
97,2
87,2
91,2
88,2
91,2
86,2
90,2
89,2
86,2
94,2
98,2
83,2
85,2
90,2
93,2
91,2
92,2
88,2.1
89,2.1
85,2.1
87,2.1
88,2.1
88,2.1
92,2.1
91,2.1
93,2.1
95,2.1
83,2.1
93,2.1
86,2.1
89,2.1
83,2.1
88,2.1
95,2.1
84,2.1
74,2.1
91,2.1
87,2.1
93,2.1
89,2.1
85,2.1
92,2.1
88,2.1
89,2.1
91,2.1
90,2.1
90,2.2
87,2.2
84,2.2
93,2.2
83,2.2
84,2.2
84,2.2
96,2.2
89,2.2
88,2.2
85,2.2
89,2.2
90,2.2
83,2.2
88,2.2
89,2.2
88,2.2
83,2.2
90,2.2
87,2.2
95,2.2
88,2.2
90,2.2
91,2.2
84,2.2
85,2.2
94,2.2
91,2.2
89,2.2
85,2.5
85,2.5
84,2.5
87,2.5
85,2.5
85,2.5
93,2.5
101,2.5
97,2.5
86,2.5
103,2.5
86,2.5
84,2.5
87,2.5
85,2.5
84,2.5
88,2.5
82,2.5
86,2.5
88,2.5
92,2.5
87,2.5
100,2.5
86,2.5
94,2.5
91,2.5
92,2.5
96,2.5
79,2.5
48,1
50,1
46,1
50,1
48,1
49,1
46,1
40,1
41,1
42,1
42,1
42,1
40,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
41,1
42,1
39,1
42,1
41,1
39,1
41,1
39,1
43,1
51,1.5
52,1.5
41,1.5
42,1.5
42,1.5
51,1.5
53,1.5
51,1.5
49,1.5
51,1.5
51,1.5
52,1.5
50,1.5
52,1.5
53,1.5
49,1.5
52,1.5
52,1.5
51,1.5
47,1.5
53,1.5
47,1.5
50,1.5
50,1.5
52,1.5
50,1.5
56,1.5
54,1.5
59,1.5
70,1.7
73,1.7
69,1.7
68,1.7
60,1.7
63,1.7
62,1.7
65,1.7
62,1.7
58,1.7
59,1.7
59,1.7
68,1.7
64,1.7
58,1.7
58,1.7
60,1.7
62,1.7
59,1.7
57,1.7
57,1.7
60,1.7
60,1.7
66,1.7
63,1.7
56,1.7
62,1.7
64,1.7
58,1.7
64,1.8
66,1.8
68,1.8
69,1.8
67,1.8
73,1.8
67,1.8
73,1.8
69,1.8
73,1.8
73,1.8
72,1.8
70,1.8
78,1.8
76,1.8
74,1.8
75,1.8
78,1.8
77,1.8
75,1.8
66,1.8
73,1.8
72,1.8
71,1.8
68,1.8
71,1.8
74,1.8
76,1.8
70,1.8
64,1.9
56,1.9
60,1.9
61,1.9
62,1.9
59,1.9
59,1.9
60,1.9
60,1.9
62,1.9
59,1.9
59,1.9
62,1.9
61,1.9
58,1.9
56,1.9
58,1.9
59,1.9
56,1.9
58,1.9
64,1.9
64,1.9
60,1.9
64,1.9
60,1.9
58,1.9
58,1.9
63,1.9
60,1.9
69,2.5
72,2.5
65,2.5
76,2.5
68,2.5
72,2.5
65,2.5
69,2.5
71,2.5
65,2.5
70,2.5
66,2.5
62,2.5
65,2.5
71,2.5
74,2.5
67,2.5
77,2.5
72,2.5
68,2.5
76,2.5
68,2.5
68,2.5
73,2.5
67,2.5
68,2.5
61,2.5
70,2.5
73,2.5
66,1
69,1
69,1
67,1
65,1
63,1
71,1
68,1
64,1
63,1
68,1
65,1
67,1
63,1
63,1
71,1
71,1
74,1
77,1
66,1
65,1
69,1
68,1
66,1
67,1
66,1
71,1
69,1
68,1
69,1
69,1
76,1.5
73,1.5
78,1.5
80,1.5
78,1.5
79,1.5
79,1.5
70,1.5
74,1.5
74,1.5
80,1.5
76,1.5
78,1.5
74,1.5
81,1.5
75,1.5
68,1.5
66,1.5
76,1.5
70,1.5
81,1.5
72,1.5
67,1.5
75,1.5
73,1.5
78,1.5
81,1.5
81,1.5
83,1.5
76,1.5
75,1.5
82,1.5
80,1.5
71,1.7
75,1.7
68,1.7
66,1.7
69,1.7
67,1.7
64,1.7
70,1.7
69,1.7
72,1.7
68,1.7
71,1.7
67,1.7
68,1.7
66,1.7
65,1.7
67,1.7
70,1.7
69,1.7
68,1.7
71,1.7
69,1.7
69,1.7
70,1.7
71,1.7
75,1.7
73,1.7
71,1.7
70,1.7
70,1.7
72,1.7
71,1.7
74,1.8
71,1.8
73,1.8
73,1.8
75,1.8
70,1.8
72,1.8
74,1.8
78,1.8
78,1.8
74,1.8
71,1.8
70,1.8
68,1.8
73,1.8
84,1.8
71,1.8
79,1.8
75,1.8
72,1.8
69,1.8
76,1.8
75,1.8
70,1.8
68,1.8
71,1.8
81,1.8
77,1.8
77,1.8
72,1.8
81,1.8
68,1.9
73,1.9
68,1.9
75,1.9
69,1.9
71,1.9
69,1.9
72,1.9
74,1.9
75,1.9
74,1.9
70,1.9
73,1.9
74,1.9
74,1.9
74,1.9
74,1.9
70,1.9
72,1.9
76,1.9
76,1.9
69,1.9
69,1.9
74,1.9
70,1.9
74,1.9
71,1.9
75,1.9
70,1.9
69,1.9
71,1.9
76,2
70,2
67,2
72,2
73,2
77,2
70,2
73,2
81,2
72,2
80,2
91,2
81,2
74,2
72,2
80,2
80,2
69,2
81,2
73,2
74,2
75,2
75,2
71,2
85,2
69,2
69,2
79,2
75,2
75,2
82,2
74,2.1
76,2.1
73,2.1
75,2.1
72,2.1
70,2.1
73,2.1
75,2.1
75,2.1
72,2.1
74,2.1
71,2.1
73,2.1
72,2.1
71,2.1
73,2.1
72,2.1
74,2.1
76,2.1
73,2.1
73,2.1
72,2.1
70,2.1
81,2.1
88,2.1
75,2.1
73,2.1
76,2.1
73,2.1
72,2.1
71,2.1
73,2.1
70,2.2
69,2.2
68,2.2
65,2.2
70,2.2
72,2.2
66,2.2
68,2.2
65,2.2
67,2.2
65,2.2
65,2.2
67,2.2
64,2.2
66,2.2
73,2.2
63,2.2
61,2.2
63,2.2
64,2.2
66,2.2
63,2.2
63,2.2
65,2.2
65,2.2
66,2.2
70,2.2
71,2.2
66,2.2
66,2.2
76,2.2
70,2.2
66,2.2
75,2.3
77,2.3
77,2.3
73,2.3
75,2.3
78,2.3
74,2.3
74,2.3
78,2.3
78,2.3
73,2.3
72,2.3
73,2.3
72,2.3
75,2.3
71,2.3
86,2.3
75,2.3
76,2.3
79,2.3
76,2.3
75,2.3
72,2.3
72,2.3
74,2.3
71,2.3
73,2.3
73,2.3
74,2.3
71,2.3
76,2.3
74,2.3
91,2.5
78,2.5
86,2.5
84,2.5
81,2.5
79,2.5
84,2.5
71,2.5
81,2.5
79,2.5
74,2.5
79,2.5
81,2.5
70,2.5
69,2.5
76,2.5
87,2.5
78,2.5
80,2.5
84,2.5
80,2.5
80,2.5
79,2.5
76,2.5
73,2.5
79,2.5
74,2.5
69,2.5
80,2.5
79,2.5
76,2.5
68,2.5
77,2.5
83,2.5
81,2.5
79,2.5
81,2.5
83,2.5
70,2.5
77,2.5
81,2.5
82,2.5
76,2.5
82,2.5
82,2.5
81,2.5
83,2.5
73,2.5
76,2.5
76,2.5
80,2.5
80,2.5
79,2.5
79,2.5
70,2.5
76,2.5
77,2.5
