RSSI,distance,tag
-73,1,buzzer
-74,1,buzzer
-75,1,buzzer
-74,1,buzzer
-71,1,buzzer
-74,1,buzzer
-73,1,buzzer
-72,1,buzzer
-77,1,buzzer
-73,1,buzzer
-71,1,buzzer
-75,1,buzzer
-73,1,buzzer
-72,1,buzzer
-74,1,buzzer
-74,1,buzzer
-73,1,buzzer
-72,1,buzzer
-74,1,buzzer
-76,1,buzzer
-73,1,buzzer
-77,1,buzzer
-76,1,buzzer
-72,1,buzzer
-74,1,buzzer
-77,1,buzzer
-73,1,buzzer
-76,1,buzzer
-74,1,buzzer
-81,1.5,buzzer
-78,1.5,buzzer
-79,1.5,buzzer
-84,1.5,buzzer
-82,1.5,buzzer
-83,1.5,buzzer
-79,1.5,buzzer
-76,1.5,buzzer
-80,1.5,buzzer
-87,1.5,buzzer
-81,1.5,buzzer
-83,1.5,buzzer
-85,1.5,buzzer
-84,1.5,buzzer
-87,1.5,buzzer
-81,1.5,buzzer
-80,1.5,buzzer
-76,1.5,buzzer
-81,1.5,buzzer
-88,1.5,buzzer
-79,1.5,buzzer
-79,1.5,buzzer
-82,1.5,buzzer
-90,1.5,buzzer
-86,1.5,buzzer
-90,1.5,buzzer
-92,1.5,buzzer
-87,1.5,buzzer
-84,1.5,buzzer
-79,1.7,buzzer
-78,1.7,buzzer
-78,1.7,buzzer
-79,1.7,buzzer
-74,1.7,buzzer
-79,1.7,buzzer
-75,1.7,buzzer
-75,1.7,buzzer
-73,1.7,buzzer
-80,1.7,buzzer
-81,1.7,buzzer
-79,1.7,buzzer
-76,1.7,buzzer
-79,1.7,buzzer
-80,1.7,buzzer
-76,1.7,buzzer
-80,1.7,buzzer
-77,1.7,buzzer
-75,1.7,buzzer
-76,1.7,buzzer
-84,1.7,buzzer
-81,1.7,buzzer
-75,1.7,buzzer
-77,1.7,buzzer
-80,1.7,buzzer
-80,1.7,buzzer
-83,1.7,buzzer
-85,1.7,buzzer
-82,1.7,buzzer
-93,1.8,buzzer
-87,1.8,buzzer
-104,1.8,buzzer
-81,1.8,buzzer
-86,1.8,buzzer
-86,1.8,buzzer
-88,1.8,buzzer
-84,1.8,buzzer
-90,1.8,buzzer
-98,1.8,buzzer
-87,1.8,buzzer
-95,1.8,buzzer
-92,1.8,buzzer
-89,1.8,buzzer
-98,1.8,buzzer
-80,1.8,buzzer
-96,1.8,buzzer
-92,1.8,buzzer
-98,1.8,buzzer
-91,1.8,buzzer
-87,1.8,buzzer
-90,1.8,buzzer
-87,1.8,buzzer
-110,1.8,buzzer
-84,1.8,buzzer
-109,1.8,buzzer
-102,1.8,buzzer
-92,1.8,buzzer
-95,1.8,buzzer
-89,1.9,none
-93,1.9,none
-98,1.9,none
-95,1.9,none
-98,1.9,none
-88,1.9,none
-86,1.9,none
-89,1.9,none
-96,1.9,none
-80,1.9,none
-89,1.9,none
-88,1.9,none
-92,1.9,none
-97,1.9,none
-97,1.9,none
-85,1.9,none
-88,1.9,none
-87,1.9,none
-96,1.9,none
-88,1.9,none
-91,1.9,none
-99,1.9,none
-96,1.9,none
-86,1.9,none
-86,1.9,none
-94,1.9,none
-85,1.9,none
-87,1.9,none
-93,1.9,none
-93,2,none
-89,2,none
-86,2,none
-90,2,none
-92,2,none
-93,2,none
-92,2,none
-90,2,none
-88,2,none
-96,2,none
-79,2,none
-87,2,none
-97,2,none
-87,2,none
-91,2,none
-88,2,none
-91,2,none
-86,2,none
-90,2,none
-89,2,none
-86,2,none
-94,2,none
-98,2,none
-83,2,none
-85,2,none
-90,2,none
-93,2,none
-91,2,none
-92,2,none
-88,2.1,none
-89,2.1,none
-85,2.1,none
-87,2.1,none
-88,2.1,none
-88,2.1,none
-92,2.1,none
-91,2.1,none
-93,2.1,none
-95,2.1,none
-83,2.1,none
-93,2.1,none
-86,2.1,none
-89,2.1,none
-83,2.1,none
-88,2.1,none
-95,2.1,none
-84,2.1,none
-74,2.1,none
-91,2.1,none
-87,2.1,none
-93,2.1,none
-89,2.1,none
-85,2.1,none
-92,2.1,none
-88,2.1,none
-89,2.1,none
-91,2.1,none
-90,2.1,none
-90,2.2,none
-87,2.2,none
-84,2.2,none
-93,2.2,none
-83,2.2,none
-84,2.2,none
-84,2.2,none
-96,2.2,none
-89,2.2,none
-88,2.2,none
-85,2.2,none
-89,2.2,none
-90,2.2,none
-83,2.2,none
-88,2.2,none
-89,2.2,none
-88,2.2,none
-83,2.2,none
-90,2.2,none
-87,2.2,none
-95,2.2,none
-88,2.2,none
-90,2.2,none
-91,2.2,none
-84,2.2,none
-85,2.2,none
-94,2.2,none
-91,2.2,none
-89,2.2,none
-85,2.5,none
-85,2.5,none
-84,2.5,none
-87,2.5,none
-85,2.5,none
-85,2.5,none
-93,2.5,none
-101,2.5,none
-97,2.5,none
-86,2.5,none
-103,2.5,none
-86,2.5,none
-84,2.5,none
-87,2.5,none
-85,2.5,none
-84,2.5,none
-88,2.5,none
-82,2.5,none
-86,2.5,none
-88,2.5,none
-92,2.5,none
-87,2.5,none
-100,2.5,none
-86,2.5,none
-94,2.5,none
-91,2.5,none
-92,2.5,none
-96,2.5,none
-79,2.5,none
