Node,RSSI
Node B,-83
Node A,-77
Node B,-69
Node A,-79
Node B,-72
Node A,-75
Node B,-86
Node A,-77
Node B,-78
Node A,-62
Node B,-62
Node A,-78
Node A,-78
Node B,-71
Node A,-69
Node A,-68
Node B,-68
Node B,-67
Node A,-91
Node B,-67
Node A,-98
Node B,-66
Node A,-76
Node A,-78
Node B,-70
Node A,-79
Node B,-69
Node B,-69
Node A,-76
Node B,-82
Node A,-63
Node B,-82
Node A,-63
Node B,-78
Node A,-67
Node B,-63
Node B,-72
Node B,-69
Node B,-82
Node A,-91
Node B,-67
Node A,-77
Node B,-67
Node B,-77
Node A,-67
Node B,-66
Node A,-68
Node B,-72
Node A,-93
Node B,-68
Node A,-93
Node B,-70
Node A,-63
Node B,-82
Node A,-67
Node B,-77
Node A,-68
Node B,-63
Node A,-79
Node B,-63
Node A,-98
Node B,-86
Node A,-84
Node B,-69
Node A,-77
Node A,-63
Node B,-77
Node A,-63
Node A,-63
Node A,-63
Node B,-85
Node A,-68
Node B,-71
Node A,-79
Node B,-71
Node A,-77
Node B,-77
Node A,-77
Node B,-69
Node A,-63
Node B,-83
Node A,-64
Node B,-84
Node B,-66
Node A,-85
Node B,-66
Node A,-62
Node B,-63
Node B,-63
Node A,-67
Node B,-77
Node A,-65
Node B,-85
Node A,-79
Node B,-70
Node A,-85
Node B,-85
Node A,-99
Node B,-68
Node A,-63
Node B,-83
Node A,-63
Node A,-63
Node B,-63
Node A,-68
Node B,-86
Node A,-67
Node B,-83
Node A,-96
Node B,-68
Node A,-98
Node B,-68
Node B,-68
Node A,-78
Node B,-66
Node A,-66
Node B,-78
Node A,-68
Node B,-66
Node B,-70
Node A,-100
Node B,-70
Node A,-100
Node B,-67
Node B,-77
Node A,-68
Node B,-66
Node A,-102
Node B,-78
Node A,-80
Node B,-63
Node A,-63
Node A,-63
Node B,-86
Node A,-65
Node B,-70
Node A,-79
Node A,-100
Node B,-66
Node A,-104
Node A,-63
Node B,-86
Node A,-65
Node B,-68
Node B,-64
Node A,-96
Node B,-78
Node A,-81
Node B,-64
Node A,-79
Node B,-64
Node B,-70
Node A,-68
Node B,-86
Node A,-65
Node B,-67
Node B,-84
Node A,-86
Node B,-71
Node A,-78
Node A,-63
Node B,-67
Node A,-63
Node B,-64
Node A,-67
Node A,-79
Node B,-71
Node B,-67
Node A,-78
Node B,-68
Node A,-78
Node B,-78
Node A,-63
Node B,-63
Node A,-67
Node B,-68
Node B,-70
Node A,-83
Node B,-68
Node A,-78
Node A,-78
Node B,-77
Node B,-66
Node A,-78
Node B,-83
Node A,-98
Node B,-67
Node A,-86
Node B,-72
Node A,-63
Node B,-70
Node B,-83
Node B,-66
Node A,-77
Node B,-77
Node A,-77
Node B,-63
Node A,-79
Node A,-78
Node B,-70
